
> firefly@0.0.1 sweep
> tsx src/eval/sweep.ts --plans tower-5x4 --quick

sweep  plans=tower-5x4  modes=freeze,blind,saturate,flashover,mixed  k=1,2,3  targets=ignition,neighbor,far,random  onset=5  seeds=1,2  ticks=60  cells=120 x 4 brains
  12/120 cells
  24/120 cells
  36/120 cells
  48/120 cells
  60/120 cells
  72/120 cells
  84/120 cells
  96/120 cells
  108/120 cells
  120/120 cells

plan         mode       k   target    brain          falseCert  fc@P.9  coverage  wrongDisp   err C              ttr  ms/tick
tower-5x4    blind      1   far       kalman               81%     67%       59%        71%    28.2        8.0 (1/2)     0.22
tower-5x4    blind      1   far       kalman-gated         88%     88%       91%        88%    53.8      never (0/2)     0.17
tower-5x4    blind      1   far       kalman-source         0%     16%       40%        23%    43.5        0.0 (2/2)     0.56

tower-5x4    blind      1   random    ours                  0%      0%       92%         0%     2.9        0.0 (2/2)     0.61
tower-5x4    blind      1   random    kalman               78%     73%       79%        75%    20.1       22.0 (2/2)     0.22
tower-5x4    blind      1   random    kalman-gated         85%     86%       87%        87%    55.3      never (0/2)     0.17
tower-5x4    blind      1   random    kalman-source         0%     36%       38%        33%    21.8        0.0 (2/2)     0.56

tower-5x4    blind      2   ignition  ours                  0%      0%       89%         0%     4.4        0.0 (2/2)     0.64
tower-5x4    blind      2   ignition  kalman               80%     54%       20%        54%    39.5       45.0 (2/2)     0.22
tower-5x4    blind      2   ignition  kalman-gated         79%     71%       71%        71%    54.2      never (0/2)     0.18
tower-5x4    blind      2   ignition  kalman-source         0%     60%        0%        49%    40.0      never (0/2)     0.56

tower-5x4    blind      2   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     0.63
tower-5x4    blind      2   neighbor  kalman               89%     75%       32%        75%    33.1        8.0 (1/2)     0.22
tower-5x4    blind      2   neighbor  kalman-gated         85%     79%       79%        79%    45.1      never (0/2)     0.18
tower-5x4    blind      2   neighbor  kalman-source         0%     70%       29%        60%    33.0      never (0/2)     0.56

tower-5x4    blind      2   far       ours                  0%      1%       88%         0%     9.5        0.0 (2/2)     0.59
tower-5x4    blind      2   far       kalman               81%     67%       59%        71%    28.2        8.0 (1/2)     0.22
tower-5x4    blind      2   far       kalman-gated         88%     88%       91%        88%    53.8      never (0/2)     0.17
tower-5x4    blind      2   far       kalman-source         0%     16%       40%        23%    43.5        0.0 (2/2)     0.56

tower-5x4    blind      2   random    ours                  0%      0%       89%         0%     5.4        0.0 (2/2)     0.65
tower-5x4    blind      2   random    kalman               87%     72%       47%        73%    37.6        8.0 (1/2)     0.22
tower-5x4    blind      2   random    kalman-gated         81%     85%       83%        85%    61.0      never (0/2)     0.18
tower-5x4    blind      2   random    kalman-source         0%     46%       38%        48%    39.5        0.0 (2/2)     0.56

tower-5x4    blind      3   ignition  ours                  0%      0%       89%         0%     4.4        0.0 (2/2)     0.63
tower-5x4    blind      3   ignition  kalman               80%     54%       20%        54%    39.5       45.0 (2/2)     0.21
tower-5x4    blind      3   ignition  kalman-gated         79%     71%       71%        71%    54.2      never (0/2)     0.18
tower-5x4    blind      3   ignition  kalman-source         0%     60%        0%        49%    40.0      never (0/2)     0.56

tower-5x4    blind      3   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     0.63
tower-5x4    blind      3   neighbor  kalman               89%     75%       32%        75%    33.1        8.0 (1/2)     0.21
tower-5x4    blind      3   neighbor  kalman-gated         85%     79%       79%        79%    45.1      never (0/2)     0.18
tower-5x4    blind      3   neighbor  kalman-source         0%     70%       29%        60%    33.0      never (0/2)     0.56

tower-5x4    blind      3   far       ours                  0%      1%       88%         0%     9.5        0.0 (2/2)     0.58
tower-5x4    blind      3   far       kalman               81%     67%       59%        71%    28.2        8.0 (1/2)     0.22
tower-5x4    blind      3   far       kalman-gated         88%     88%       91%        88%    53.8      never (0/2)     0.17
